forecast_origin,pickup_hour,pickup_zone_name,lead_hour,baseline_forecast,improved_forecast
2026-04-01,2026-04-01 00:00:00,Upper East Side South,1,42.0,33.86940955263532
2026-04-01,2026-04-01 00:00:00,JFK Airport,1,215.05769230769232,237.42225944587176
2026-04-01,2026-04-01 00:00:00,Midtown Center,1,80.4423076923077,54.27614179122576
2026-04-01,2026-04-01 00:00:00,Upper East Side North,1,14.923076923076923,14.447543055162829
2026-04-01,2026-04-01 00:00:00,Penn Station/Madison Sq West,1,68.51923076923077,50.33915111488234
2026-04-01,2026-04-01 00:00:00,Midtown East,1,47.25,43.81873585228185
2026-04-01,2026-04-01 00:00:00,Times Sq/Theatre District,1,94.5576923076923,96.0828226777163
2026-04-01,2026-04-01 00:00:00,Lincoln Square East,1,37.13461538461539,35.06446093140677
2026-04-01,2026-04-01 00:00:00,LaGuardia Airport,1,113.32692307692308,112.63155309684076
2026-04-01,2026-04-01 00:00:00,Murray Hill,1,41.26923076923077,39.148578302917215
2026-04-01,2026-04-01 01:00:00,Upper East Side South,2,14.692307692307692,13.48802339461521
2026-04-01,2026-04-01 01:00:00,JFK Airport,2,99.07692307692308,116.17403877209378
2026-04-01,2026-04-01 01:00:00,Midtown Center,2,26.71153846153846,15.11188820635771
2026-04-01,2026-04-01 01:00:00,Upper East Side North,2,5.5576923076923075,7.837464757921945
2026-04-01,2026-04-01 01:00:00,Penn Station/Madison Sq West,2,27.53846153846154,36.095578243155124
2026-04-01,2026-04-01 01:00:00,Midtown East,2,18.134615384615383,15.885013757566698
2026-04-01,2026-04-01 01:00:00,Times Sq/Theatre District,2,38.07692307692308,36.88738780053535
2026-04-01,2026-04-01 01:00:00,Lincoln Square East,2,12.307692307692308,13.287131933924378
2026-04-01,2026-04-01 01:00:00,LaGuardia Airport,2,28.5,66.50248953706244
2026-04-01,2026-04-01 01:00:00,Murray Hill,2,17.076923076923077,16.70979482977927
2026-04-01,2026-04-01 02:00:00,Upper East Side South,3,6.75,9.738120329592947
2026-04-01,2026-04-01 02:00:00,JFK Airport,3,35.73076923076923,29.655763215516036
2026-04-01,2026-04-01 02:00:00,Midtown Center,3,9.884615384615385,7.535310374489876
2026-04-01,2026-04-01 02:00:00,Upper East Side North,3,2.9038461538461537,5.773196267200674
2026-04-01,2026-04-01 02:00:00,Penn Station/Madison Sq West,3,13.423076923076923,15.744214308045064
2026-04-01,2026-04-01 02:00:00,Midtown East,3,8.98076923076923,8.794587034578338
2026-04-01,2026-04-01 02:00:00,Times Sq/Theatre District,3,21.634615384615383,15.532488709787152
2026-04-01,2026-04-01 02:00:00,Lincoln Square East,3,5.576923076923077,6.872554203664271
2026-04-01,2026-04-01 02:00:00,LaGuardia Airport,3,6.0576923076923075,17.36994437921002
2026-04-01,2026-04-01 02:00:00,Murray Hill,3,8.788461538461538,9.333844960141978
2026-04-01,2026-04-01 03:00:00,Upper East Side South,4,4.230769230769231,6.544377171426776
2026-04-01,2026-04-01 03:00:00,JFK Airport,4,13.26923076923077,11.735777276019755
2026-04-01,2026-04-01 03:00:00,Midtown Center,4,5.903846153846154,6.052993275552111
2026-04-01,2026-04-01 03:00:00,Upper East Side North,4,2.0961538461538463,5.5016854583043635
2026-04-01,2026-04-01 03:00:00,Penn Station/Madison Sq West,4,7.173076923076923,10.363958051708645
2026-04-01,2026-04-01 03:00:00,Midtown East,4,4.173076923076923,6.430666689458205
2026-04-01,2026-04-01 03:00:00,Times Sq/Theatre District,4,16.365384615384617,13.089228515618633
